time,CCSI,공공/기업/단체_pred_MA3,공연/전시_pred_MA3,미디어/통신_pred_MA3,생활서비스_pred_MA3,소매/유통_pred_MA3,여가/오락_pred_MA3,음식_pred_MA3,의료/건강_pred_MA3,학문/교육_pred_MA3
2022-01,104.9,98.48964260733354,80.96308139359928,103.91120122823007,94.56086069303763,103.13930347523677,78.17990312358857,80.46244617085172,93.52015428909313,97.23291809615884
2022-02,103.5,89.68704140162326,72.65965606587592,92.0758192275546,87.61024189436233,94.22121918345121,72.97739110405969,72.14382541018108,88.15657543801707,89.45833738434207
2022-03,103.7,84.62553919238441,67.87821021661807,85.8630827231272,86.68413615353332,93.04505221381572,72.84694328418274,71.41372435555279,85.5460507666126,84.27296190429203
2022-04,104.3,91.06099328043094,73.15578564885408,85.36267328479616,92.09297322767615,102.12425230440475,87.89930377002497,82.22324284077523,88.70948546505194,84.74478822503218
2022-05,103.1,96.83079925535515,78.61682205927332,89.97057555544633,95.68572435168178,108.02065140103885,99.75544285065125,92.27257973203261,89.24583404022466,85.1171702337594
2022-06,96.8,102.29714209545836,87.18356547505371,94.51966464789892,96.19887866734578,109.45589989917093,108.47708245184882,98.80839763018274,90.55319121067517,88.96620363481492
2022-07,86.2,100.81202564693159,92.62514512730466,95.38261581366712,94.10475068942806,103.99897542215244,108.73472715310494,97.15007727811428,92.54089724499829,93.48963446871717
2022-08,89.0,100.81609573910787,94.27193492227592,92.79523607639993,92.39408572767505,100.98354135783245,107.72870894042306,95.83751076521706,93.14834030107988,96.14573081312113
2022-09,91.6,101.31519899750342,94.710456899709,94.14801289735617,94.60525648148526,100.03402221873007,108.09425210319364,97.47328142640373,93.3628589262219,95.8763198374557
2022-10,89.0,102.89086330591782,93.73114270097435,97.5432379305916,97.88320799771189,99.87451084153115,109.7303207714633,102.03880769459468,93.62447906860355,96.01309375627504
2022-11,86.6,99.253708764834,91.08027368753335,99.74899246502017,99.37019741629587,98.45184472228586,105.74921619056579,101.77776177837902,94.34514545882276,96.46579366134576
2022-12,90.1,102.5841113947684,99.62954289922368,109.10760755354013,104.59061476885537,104.69942362751753,106.0120025426907,105.9636517590521,103.18818435498457,109.707178719751
2023-01,90.7,90.91247669641307,90.08119738373598,100.04521953369814,93.22245084471444,94.25913339158446,90.05269937227658,92.55376228238477,94.91296886707762,101.27249986530603
2023-02,90.2,93.07993817055734,95.03430413503604,100.80390266843868,92.161511052777,94.68962629971988,91.88103962129459,93.13480298781943,96.31793681216169,102.10698438119641
2023-03,92.0,91.31774639426249,85.54165061780971,95.14469657935292,87.39905697796243,90.50466863487296,89.71044536929264,88.68317749625999,91.10418740497494,92.00315939677935
2023-04,95.2,105.47480697277454,95.03421723630579,106.73720718606597,97.82053211039477,104.61789392393477,104.31472430533385,103.11466005489855,102.60486332984846,102.48972425534868
2023-05,98.1,110.7154564206462,94.43203795639067,110.73207254030542,99.96693867330991,107.72405566736587,106.49734307680485,106.07195073853264,103.69187851512648,101.06109716525965
2023-06,100.8,114.77289526077998,100.05014886050809,108.22801747363545,98.15073429332055,106.79542393992449,109.73105278036806,108.59209762892738,103.84374212519793,100.96016301956195
2023-07,103.4,113.77138296706634,104.13379225135175,107.96339459476546,95.53666754160511,103.11110979530974,111.04263872257853,106.58822078174222,102.42142523390102,101.85642246505633
2023-08,103.3,112.72075629894526,106.11386606717545,103.77471963115516,95.02320119522182,100.17348770275021,112.67326658300095,106.58498280678175,102.53595771197934,102.70461555275793
2023-09,99.8,118.3206160355356,113.69148635440921,109.74512599597156,104.7380330519418,107.40993916441529,120.08788222375028,116.76408362797721,108.9829130843092,109.85801652972503
2023-10,98.2,113.46065862531698,103.89809745444136,99.06648991712098,102.58209644039383,99.63924540117719,110.75493451988733,112.07418913747678,103.46907042179352,100.45381690670544
2023-11,97.3,110.7903121639979,99.9234976381192,97.69085620378046,101.11236051279984,98.57305937434913,104.71086923289364,109.73464918485689,103.81193040421347,99.70246238492908
2023-12,99.7,108.17123122940016,98.27740966124648,96.48020269959008,97.57974634499527,96.01810197940537,98.0482921320339,104.74992506596176,105.61201063811434,103.75147833468296
2024-01,101.6,105.38776829280681,96.71134226658087,96.53386035270069,94.94569452906718,94.26954220287263,92.66277252347548,100.03487413178618,106.81853129215934,108.60206656362121
2024-02,101.9,108.21999999200547,101.01921848279409,94.7296825199184,95.80842554851604,93.8508304586931,94.29068438597388,100.68823263462681,105.93255210662221,110.43895666297269
2024-03,100.7,106.44274380973926,101.09289183277114,96.41058003872799,101.91510174830745,96.70552984640013,97.85944989370384,100.61872063050367,107.90389038588897,113.41212886015073
2024-04,100.7,105.559420427115,103.7951363406697,91.84575238244754,105.38988545496052,101.64830833636691,103.4165986822533,103.66959697703527,106.90775885244007,109.5811365950925
2024-05,98.4,102.07479128996458,107.34382223211695,90.617253806648,108.76570173421764,104.80360042064834,105.87493529138494,104.57940348225767,107.64774006052214,106.83817011869013
2024-06,100.9,101.44285648686159,112.08836720421145,87.11730740077529,107.79667933786548,102.68661055845075,107.58984876814579,104.7618320674175,106.17382400825313,103.35184129433826
2024-07,103.6,98.37152421691147,113.68752917697176,88.74713033870226,105.28127162181507,98.57027120313748,105.33053961679785,102.56174202829817,106.29570111533086,101.99536561420545
2024-08,100.8,104.65542109280875,121.598489907952,98.26469802421995,113.88459683744443,104.94433200729335,113.11723536484007,109.83404489230595,116.96904249580273,114.17535964653011
2024-09,100.0,97.54299044910965,113.42928685903001,93.2479245984039,106.04083976410057,98.58586809799287,105.62921908086004,104.10645319786136,107.53446365013524,102.9002103259077
2024-10,101.8,98.15275008499836,116.03879571328717,95.80889529709276,108.9640513360367,99.54948883160259,106.70650254402089,106.35285232903136,107.9190113728701,103.25109626775615
2024-11,100.7,94.32180517706955,111.98787630124971,96.15964289588534,108.91866079114905,98.53594752864858,102.14229297766128,105.89172996992347,107.14301127406547,103.06766277094438
2024-12,88.2,91.57601551598617,107.96255500440543,97.08281689736614,106.78110648168682,98.33330379219869,97.25471718322837,104.79248775065878,109.12091889361092,105.73678301132234
2025-01,91.2,87.35874191678914,100.61407343283872,97.66341201536703,103.30661019513457,96.4581898800116,90.39321168823382,101.05440239223832,103.86407667765629,102.15414248851302
2025-02,95.2,78.97713243851545,91.12306295815162,99.87270321928274,91.48978499802429,86.58709593747847,79.66027137828684,89.54748808132972,92.03196412329805,91.93942705515963
2025-03,93.4,85.56164930976968,100.81561268557381,114.05345908300251,102.36202850335269,94.76202572264803,86.14461444953169,94.9240830312798,95.82581566081176,99.14995441633283
2025-04,93.8,90.22796490749846,107.10734578982652,118.0225807889771,105.17981037571744,99.26058566364432,89.17024047355477,96.69107094344061,97.69111514239455,99.80642945330061
2025-05,101.8,101.67900360730034,128.83880131400454,125.3164186329289,117.52271806234857,112.85265232945233,101.95964301197425,109.91305304678232,103.02405146789256,105.21505806194442
2025-06,108.7,93.53550233266445,117.64881542943027,111.66862317760307,103.51833776174237,99.42757498492689,92.5141977371695,98.34445197413244,91.24794889020934,90.05360071488516
